province,month,cpi_inflation_yoy,core_inflation_yoy,food_price_index,exchange_rate_change_pct,qris_transactions_growth_pct,online_sentiment_score,unemployment_rate,hotel_occupancy_rate,rainfall_index,commodity_price_index,high_inflation_pressure,month_num,quarter
DKI Jakarta,2024-01-01,2.07,2.7,100.41,0.86,27.99,0.068,4.96,82.05,130.93,98.12,0,1,1
DKI Jakarta,2024-02-01,1.91,2.92,99.78,0.42,10.12,-0.259,4.63,58.2,121.73,96.37,0,2,1
DKI Jakarta,2024-03-01,2.46,2.81,102.91,0.3,12.66,-0.03,5.3,57.17,105.37,98.8,0,3,1
DKI Jakarta,2024-04-01,2.29,2.94,109.99,0.22,14.57,0.271,3.97,69.8,53.71,95.89,0,4,2
DKI Jakarta,2024-05-01,1.71,2.64,101.5,0.02,18.51,-0.205,4.47,62.67,119.31,101.37,0,5,2
DKI Jakarta,2024-06-01,1.98,2.57,98.85,-0.59,23.25,0.347,6.12,58.03,88.2,101.33,0,6,2
DKI Jakarta,2024-07-01,1.65,2.54,98.85,-1.07,13.85,0.299,6.55,64.27,116.03,101.45,0,7,3
DKI Jakarta,2024-08-01,1.59,2.49,104.37,0.11,28.21,-0.456,6.01,65.01,86.6,100.37,0,8,3
DKI Jakarta,2024-09-01,2.32,2.98,100.05,1.78,17.38,-0.058,4.69,72.6,100.13,97.88,0,9,3
DKI Jakarta,2024-10-01,1.81,2.31,102.37,-0.62,18.37,0.034,3.73,66.99,98.92,100.02,0,10,4
DKI Jakarta,2024-11-01,2.12,2.42,100.12,-0.15,15.9,0.055,5.59,82.87,115.79,102.23,0,11,4
DKI Jakarta,2024-12-01,2.4,3.11,102.2,0.3,32.88,0.048,5.49,65.67,87.29,105.77,0,12,4
DKI Jakarta,2025-01-01,2.15,2.63,97.71,1.69,12.78,0.249,7.38,57.64,101.59,100.4,0,1,1
DKI Jakarta,2025-02-01,1.66,2.54,101.65,-1.02,22.54,-0.082,6.74,60.38,107.73,103.25,0,2,1
DKI Jakarta,2025-03-01,2.28,2.78,108.27,-1.54,21.03,0.147,5.97,56.35,68.05,103.29,0,3,1
DKI Jakarta,2025-04-01,2.16,2.52,104.72,-0.52,21.28,0.154,4.48,85.54,107.24,96.43,0,4,2
DKI Jakarta,2025-05-01,2.12,2.7,103.65,1.42,15.81,0.332,5.6,74.86,137.78,99.02,0,5,2
DKI Jakarta,2025-06-01,2.65,3.1,97.34,0.07,21.85,0.181,6.02,66.12,126.98,98.94,1,6,2
DKI Jakarta,2025-07-01,1.04,2.07,96.5,-1.03,22.58,0.071,5.9,69.45,92.35,96.61,0,7,3
DKI Jakarta,2025-08-01,1.88,2.74,101.98,0.39,13.6,0.158,5.58,55.78,96.56,100.23,0,8,3
DKI Jakarta,2025-09-01,3.26,3.5,100.76,1.34,25.55,-0.183,4.25,68.79,104.2,102.06,1,9,3
DKI Jakarta,2025-10-01,2.24,3.3,102.96,1.2,23.46,0.051,5.95,56.84,87.97,98.06,0,10,4
DKI Jakarta,2025-11-01,2.41,2.81,95.06,0.98,11.69,-0.014,6.28,65.56,88.24,98.34,0,11,4
DKI Jakarta,2025-12-01,2.7,2.88,103.05,0.28,16.68,0.562,5.82,46.76,117.1,98.55,1,12,4
Jawa Barat,2024-01-01,2.24,3.09,102.42,1.1,10.7,0.046,4.65,51.84,152.89,103.12,0,1,1
Jawa Barat,2024-02-01,2.56,3.09,108.59,1.29,9.04,0.013,6.39,52.1,124.58,104.6,1,2,1
Jawa Barat,2024-03-01,2.35,2.56,92.11,-0.9,15.62,-0.185,6.76,45.51,87.42,103.22,0,3,1
Jawa Barat,2024-04-01,2.58,3.11,107.34,0.24,11.83,0.192,5.32,53.12,98.35,101.16,1,4,2
Jawa Barat,2024-05-01,1.79,2.41,106.21,-1.21,28.03,-0.309,4.97,63.64,102.23,99.01,0,5,2
Jawa Barat,2024-06-01,1.9,2.68,97.89,1.08,18.79,-0.032,6.02,59.92,112.88,104.02,0,6,2
Jawa Barat,2024-07-01,2.16,3.04,101.87,0.82,16.83,0.146,6.4,50.33,105.99,100.69,0,7,3
Jawa Barat,2024-08-01,2.15,2.97,101.63,1.04,23.73,0.125,5.81,52.23,100.31,100.98,0,8,3
Jawa Barat,2024-09-01,2.35,2.93,95.69,2.45,11.71,-0.147,6.28,62.42,106.63,104.01,0,9,3
Jawa Barat,2024-10-01,1.49,2.46,99.01,-0.59,22.01,0.088,4.3,52.13,102.27,99.25,0,10,4
